nama_produk,harga,kategori,kota
OLIKE GH1 HEADPHONE GAMING WIRED MICROPHONE HEADSET STEREO RGB,139000,Headphone,N/A
VIVAN Liberty T110 FF True Wireless Bluetooth Earphone Mini Earbuds TWS - Garansi Resmi,295000,Headset (Earphone),N/A
BONBOX TBTW30201 empat Makan Lunch Box Kotak Bekal Anti Tumpah Dua Susun Tiga Sekat Premium Food Grade,50000,Penyimpanan & Kotak Makanan,N/A
BONBOX BCT811 Cleaning Tools Keranjang Lipat Serbaguna Baskom Lipat Portable Silikon Ember Lipat Portabel Anti Bocor Multifungsi Keranjang Cucian Kota,103000,Ember & Baskom,N/A
BONBOX BSB3202 Storage Box Serbaguna Kotak Penyimpanan Tempat Tissue Tempat Remote Tempat Perkakas Serbaguna Box Meja Kantor Rak Dokumen Kotak Penyimp,37000,Tempat Penyimpanan & Organizer,N/A
Samono SW-HU250 5.2L Air Humidifier Mesin Pelembab Udara Uap Otomatis Kapasitas Besar White,375000,Elektronik Lainnya,N/A
SAMONO BBS3305 Rak Kamar Mandi Sudut Bulat Kuat Tempel Dinding Keramik,19000,Tempat Penyimpanan & Organizer,N/A
Samono 750ML SW-CMB06B Coffee Maker Mesin Kopi Multifungsi 2 in 1 Anti Bocor 600Watt Low Watt Bahan Plastik Black,178000,Coffee Maker,N/A
SAMONO SW-ES02 Shaver Alat Cukur Jenggot Listrik Cukur Kumis Anti Air Portable Garansi Resmi 1 Tahun,135000,Peralatan Cukur,N/A
BONBOX BCH21202 Gantungan Baju Isi 5pcs Gantungan Dewasa Premium Gantungan Baju Plastik Gantungan Baju Celana Hanger,27000,Gantungan Baju,N/A
SAMONO SW-C200 Chopper Magic Duck Penghalus Makanan Hemat Daya 200 Watt 6 Mata Pisau Garansi Resmi 1 Tahun,184000,Blender,N/A
Charger Original VIVAN Fast Charging 35W Gan Power 35 White 3A PD QC-Garansi Resmi,164000,Charger,N/A
VIVAN  VDCL120 / VDCC120 Kabel Type C to Lightning/Type C to Type C 3A Untuk iPhone 14 13 pro Max 13 / 12 / 11 / XS / XR / X / 8 / 7 plus,59000,Kabel Data,N/A
